Name,Date,Time,Status
Apurvam Arya,2026-01-16,11:03:25,Present
Nishant Raghav,2026-01-16,11:03:26,Present
Satyarata Behera,2026-01-16,11:03:27,Present
Mayank,2026-01-16,14:10:06,Present
Mudit Pandey,2026-01-16,14:10:10,Present
Apurvam Arya,2026-01-16,14:10:28,Present
Apurvam Arya,2026-01-16,15:03:56,Present
Mudit Pandey,2026-01-16,15:04:00,Present
Satyarata Behera,2026-01-16,15:04:04,Present
Aakarsh Singh,2026-01-18,17:57:33,Present
Apurvam Arya,2026-01-18,17:57:36,Present
Pratham Agarwal,2026-01-18,17:57:40,Present
Satyarata Behera,2026-01-18,17:57:42,Present
Mayank,2026-01-18,17:57:47,Present
Virat Kohli,2026-01-21,10:54:24,Present
Marmik,2026-02-08,18:55:25,Present
Apurvam Arya,2026-02-08,18:55:28,Present
Henry Cavill,2026-02-08,18:55:30,Present
Virat Kohli,2026-02-08,18:55:31,Present
Henry Cavill,2026-02-08,21:33:53,Present
Kashyap,2026-02-08,21:33:53,Present
Anushka Sharma,2026-02-08,21:33:54,Present
Virat Kohli,2026-02-08,21:33:56,Present
Alexandra Daddario,2026-02-08,21:33:56,Present
Alia Bhatt,2026-02-08,21:33:58,Present
Courtney Cox,2026-02-08,21:34:08,Present
Elizabeth Olsen,2026-02-08,21:34:09,Present
Akshay Kumar,2026-02-08,21:34:16,Present
Robert Downey Jr,2026-02-08,21:34:17,Present
Hugh Jackman,2026-02-08,21:34:20,Present
Jessica Alba,2026-02-08,21:34:23,Present
Henry Cavill,2026-02-09,22:45:40,Present
Alia Bhatt,2026-02-09,22:45:44,Present
Robert Downey Jr,2026-02-09,22:45:46,Present
Natalie Portman,2026-02-09,22:45:47,Present
Courtney Cox,2026-02-09,22:45:51,Present
Hugh Jackman,2026-02-09,22:45:53,Present
Akshay Kumar,2026-02-09,22:45:55,Present
Jessica Alba,2026-02-09,22:46:01,Present
Kashyap,2026-02-09,22:46:12,Present
Elizabeth Olsen,2026-02-09,22:46:39,Present
Alia Bhatt,2026-02-09,22:50:56,Present
Akshay Kumar,2026-02-09,22:51:01,Present
Kashyap,2026-02-09,22:51:02,Present
Henry Cavill,2026-02-09,22:51:03,Present
Robert Downey Jr,2026-02-09,22:51:14,Present
Hrithik Roshan,2026-02-09,22:51:24,Present
Henry Cavill,2026-02-09,23:00:01,Present
Alia Bhatt,2026-02-09,23:00:02,Present
Kashyap,2026-02-09,23:00:10,Present
Anushka Sharma,2026-02-09,23:00:10,Present
Robert Downey Jr,2026-02-09,23:00:12,Present
Akshay Kumar,2026-02-09,23:00:14,Present
Henry Cavill,2026-02-09,23:05:20,Present
Kashyap,2026-02-09,23:05:22,Present
Alia Bhatt,2026-02-09,23:05:23,Present
Elizabeth Olsen,2026-02-09,23:05:24,Present
Robert Downey Jr,2026-02-09,23:05:27,Present
Akshay Kumar,2026-02-09,23:05:28,Present
Marmik,2026-02-10,09:32:20,Present
Apurvam Arya,2026-02-10,09:32:26,Present
Alia Bhatt,2026-02-17,22:37:43,Present
Anushka Sharma,2026-02-17,22:37:44,Present
Priyanka Chopra,2026-02-17,22:37:45,Present
Virat Kohli,2026-02-17,22:37:45,Present
Henry Cavill,2026-02-17,22:37:46,Present
Jessica Alba,2026-02-17,22:37:51,Present
Tom Cruise,2026-02-17,22:37:52,Present
Alexandra Daddario,2026-02-17,22:37:52,Present
Akshay Kumar,2026-02-17,22:37:54,Present
Hrithik Roshan,2026-02-17,22:37:55,Present
Henry Cavill,2026-02-17,22:49:05,Present
Alia Bhatt,2026-02-17,22:49:09,Present
Anushka Sharma,2026-02-17,22:49:10,Present
Virat Kohli,2026-02-17,22:49:11,Present
Akshay Kumar,2026-02-17,22:49:14,Present
Alexandra Daddario,2026-02-17,22:49:15,Present
Priyanka Chopra,2026-02-17,22:49:15,Present
Hrithik Roshan,2026-02-17,22:49:22,Present
Elizabeth Olsen,2026-02-17,22:49:22,Present
Jessica Alba,2026-02-17,22:49:23,Present
Lisa Kudrow,2026-02-17,22:49:35,Present
Apurvam Arya,2026-02-17,23:03:14,Present
Apurvam Arya,2026-02-18,14:01:29,Present
Aakarsh Singh,2026-02-18,14:01:35,Present
Nishant Raghav,2026-02-18,14:01:41,Present
Nishant Raghav,2026-02-18,18:43:28,Present
Apurvam Arya,2026-02-18,18:43:29,Present
Pratham Agarwal,2026-02-18,18:43:31,Present
Aakarsh Singh,2026-02-18,18:43:40,Present
Pratham Agarwal,2026-02-18,18:44:42,Present
Aakarsh Singh,2026-02-18,18:44:44,Present
Nishant Raghav,2026-02-18,18:44:45,Present
Apurvam Arya,2026-02-18,18:44:45,Present
Nishant Raghav,2026-02-18,18:45:18,Present
Pratham Agarwal,2026-02-18,18:45:20,Present
Apurvam Arya,2026-02-18,18:45:22,Present
Aakarsh Singh,2026-02-18,18:45:30,Present
Nishant Raghav,2026-02-18,18:51:16,Present
Aakarsh Singh,2026-02-18,18:51:17,Present
Mudit Pandey,2026-02-18,18:51:31,Present
Nishant Raghav,2026-02-18,18:57:43,Present
Mudit Pandey,2026-02-18,18:58:02,Present
Nishant Raghav,2026-02-18,19:26:44,Present
Mudit Pandey,2026-02-18,19:27:06,Present
Aakarsh Singh,2026-02-18,19:27:11,Present
Khushi Sani,2026-02-19,11:05:33,Present
Rajvir Bhimwal,2026-02-20,14:18:50,Present
Khushi Sani,2026-02-20,14:19:07,Present
Ayushi Rai,2026-02-20,14:25:16,Present
Rajvir Bhimwal,2026-02-20,14:25:26,Present
